Method,Sub name,Concurrency,bonnie_vm,VDC_Ksec,VDC_%CPU,VDC_Latency
Sequential Output,Per character,3,bonnie_vm,693,94,11979us,,,,,,,,,,,,
Sequential Output,Block,3,bonnie_vm,78192,8,364ms,,,,,,,,,,,,
Sequential Output,Rewrite,3,bonnie_vm,138560,10,1791ms,,,,,,,,,,,,
Sequential Input,Per character,3,bonnie_vm,3890,85,2078us,,,,,,,,,,,,
Sequential Input,Block,3,bonnie_vm,1999141,82,12365us,,,,,,,,,,,,
Random,Seeks,3,bonnie_vm,365.2,6,2194us,,,,,,,,,,,,
Sequential Create,Create,3,bonnie_vm,21333,29,287us,,,,,,,,,,,,
Sequential Create,Read,3,bonnie_vm,+++++,+++,385us,,,,,,,,,,,,
Sequential Create,Delete,3,bonnie_vm,23233,24,385us,,,,,,,,,,,,
Random create,Create,3,bonnie_vm,27989,37,232us,,,,,,,,,,,,
Random create,Read,3,bonnie_vm,+++++,+++,18us,,,,,,,,,,,,
Random create,Delete,3,bonnie_vm,28091,28,406us,,,,,,,,,,,,
Method,Sub name,Concurrency,bonnie_vm,VDC_Ksec,VDC_%CPU,VDC_Latency
Sequential Output,Per character,4,bonnie_vm,659,94,12783us,,,,,,,,,,,,
Sequential Output,Block,4,bonnie_vm,193748,21,181ms,,,,,,,,,,,,
Sequential Output,Rewrite,4,bonnie_vm,139634,10,1503ms,,,,,,,,,,,,
Sequential Input,Per character,4,bonnie_vm,3661,77,2065us,,,,,,,,,,,,
Sequential Input,Block,4,bonnie_vm,2245597,84,11044us,,,,,,,,,,,,
Random,Seeks,4,bonnie_vm,348.3,6,1839us,,,,,,,,,,,,
Sequential Create,Create,4,bonnie_vm,23906,31,287us,,,,,,,,,,,,
Sequential Create,Read,4,bonnie_vm,+++++,+++,401us,,,,,,,,,,,,
Sequential Create,Delete,4,bonnie_vm,27412,28,396us,,,,,,,,,,,,
Random create,Create,4,bonnie_vm,32119,43,243us,,,,,,,,,,,,
Random create,Read,4,bonnie_vm,+++++,+++,39us,,,,,,,,,,,,
Random create,Delete,4,bonnie_vm,31661,30,377us,,,,,,,,,,,,
Method,Sub name,Concurrency,bonnie_vm,VDC_Ksec,VDC_%CPU,VDC_Latency
Sequential Output,Per character,5,bonnie_vm,666,93,17301us,,,,,,,,,,,,
Sequential Output,Block,5,bonnie_vm,40909,4,119s,,,,,,,,,,,,
Sequential Output,Rewrite,5,bonnie_vm,43027,3,127s,,,,,,,,,,,,
Sequential Input,Per character,5,bonnie_vm,3466,77,2149us,,,,,,,,,,,,
Sequential Input,Block,5,bonnie_vm,2085384,82,12495us,,,,,,,,,,,,
Random,Seeks,5,bonnie_vm,349.4,6,2381us,,,,,,,,,,,,
Sequential Create,Create,5,bonnie_vm,24848,34,288us,,,,,,,,,,,,
Sequential Create,Read,5,bonnie_vm,+++++,+++,351us,,,,,,,,,,,,
Sequential Create,Delete,5,bonnie_vm,26135,26,379us,,,,,,,,,,,,
Random create,Create,5,bonnie_vm,25471,33,241us,,,,,,,,,,,,
Random create,Read,5,bonnie_vm,+++++,+++,34us,,,,,,,,,,,,
Random create,Delete,5,bonnie_vm,31614,32,393us,,,,,,,,,,,,
Method,Sub name,Concurrency,bonnie_vm,VDC_Ksec,VDC_%CPU,VDC_Latency
Sequential Output,Per character,6,bonnie_vm,668,95,12074us,,,,,,,,,,,,
Sequential Output,Block,6,bonnie_vm,98682,11,321ms,,,,,,,,,,,,
Sequential Output,Rewrite,6,bonnie_vm,124238,10,1430ms,,,,,,,,,,,,
Sequential Input,Per character,6,bonnie_vm,3877,83,2110us,,,,,,,,,,,,
Sequential Input,Block,6,bonnie_vm,2071599,77,357us,,,,,,,,,,,,
Random,Seeks,6,bonnie_vm,347.9,6,2954us,,,,,,,,,,,,
Sequential Create,Create,6,bonnie_vm,22937,31,276us,,,,,,,,,,,,
Sequential Create,Read,6,bonnie_vm,+++++,+++,373us,,,,,,,,,,,,
Sequential Create,Delete,6,bonnie_vm,30972,31,695us,,,,,,,,,,,,
Random create,Create,6,bonnie_vm,30712,38,217us,,,,,,,,,,,,
Random create,Read,6,bonnie_vm,+++++,+++,36us,,,,,,,,,,,,
Random create,Delete,6,bonnie_vm,21395,21,79846us,,,,,,,,,,,,
Method,Sub name,Concurrency,bonnie_vm,VDC_Ksec,VDC_%CPU,VDC_Latency
Sequential Output,Per character,7,bonnie_vm,635,95,12868us,,,,,,,,,,,,
Sequential Output,Block,7,bonnie_vm,153066,16,259ms,,,,,,,,,,,,
Sequential Output,Rewrite,7,bonnie_vm,47249,3,129s,,,,,,,,,,,,
Sequential Input,Per character,7,bonnie_vm,3705,81,1955us,,,,,,,,,,,,
Sequential Input,Block,7,bonnie_vm,1841266,86,11115us,,,,,,,,,,,,
Random,Seeks,7,bonnie_vm,337.1,6,3715us,,,,,,,,,,,,
Sequential Create,Create,7,bonnie_vm,22919,30,274us,,,,,,,,,,,,
Sequential Create,Read,7,bonnie_vm,+++++,+++,345us,,,,,,,,,,,,
Sequential Create,Delete,7,bonnie_vm,+++++,+++,399us,,,,,,,,,,,,
Random create,Create,7,bonnie_vm,24755,32,247us,,,,,,,,,,,,
Random create,Read,7,bonnie_vm,+++++,+++,20us,,,,,,,,,,,,
Random create,Delete,7,bonnie_vm,26551,28,426us,,,,,,,,,,,,
Method,Sub name,Concurrency,bonnie_vm,VDC_Ksec,VDC_%CPU,VDC_Latency
Sequential Output,Per character,8,bonnie_vm,627,93,17254us,,,,,,,,,,,,
Sequential Output,Block,8,bonnie_vm,80704,9,384ms,,,,,,,,,,,,
Sequential Output,Rewrite,8,bonnie_vm,40042,3,129s,,,,,,,,,,,,
Sequential Input,Per character,8,bonnie_vm,3993,85,2063us,,,,,,,,,,,,
Sequential Input,Block,8,bonnie_vm,2076448,77,2402us,,,,,,,,,,,,
Random,Seeks,8,bonnie_vm,321.4,5,1966us,,,,,,,,,,,,
Sequential Create,Create,8,bonnie_vm,21892,27,319us,,,,,,,,,,,,
Sequential Create,Read,8,bonnie_vm,+++++,+++,349us,,,,,,,,,,,,
Sequential Create,Delete,8,bonnie_vm,30419,30,705us,,,,,,,,,,,,
Random create,Create,8,bonnie_vm,+++++,+++,235us,,,,,,,,,,,,
Random create,Read,8,bonnie_vm,+++++,+++,25us,,,,,,,,,,,,
Random create,Delete,8,bonnie_vm,26742,26,375us,,,,,,,,,,,,
Method,Sub name,Concurrency,bonnie_vm,VDC_Ksec,VDC_%CPU,VDC_Latency
Sequential Output,Per character,9,bonnie_vm,668,95,12509us,,,,,,,,,,,,
Sequential Output,Block,9,bonnie_vm,42549,4,123s,,,,,,,,,,,,
Sequential Output,Rewrite,9,bonnie_vm,106881,8,1560ms,,,,,,,,,,,,
Sequential Input,Per character,9,bonnie_vm,3905,86,2038us,,,,,,,,,,,,
Sequential Input,Block,9,bonnie_vm,2320959,83,1214us,,,,,,,,,,,,
Random,Seeks,9,bonnie_vm,348.0,5,5444us,,,,,,,,,,,,
Sequential Create,Create,9,bonnie_vm,25080,33,433us,,,,,,,,,,,,
Sequential Create,Read,9,bonnie_vm,+++++,+++,359us,,,,,,,,,,,,
Sequential Create,Delete,9,bonnie_vm,28858,28,375us,,,,,,,,,,,,
Random create,Create,9,bonnie_vm,26973,33,224us,,,,,,,,,,,,
Random create,Read,9,bonnie_vm,+++++,+++,34us,,,,,,,,,,,,
Random create,Delete,9,bonnie_vm,27988,28,415us,,,,,,,,,,,,
Method,Sub name,Concurrency,bonnie_vm,VDC_Ksec,VDC_%CPU,VDC_Latency
Sequential Output,Per character,10,bonnie_vm,682,95,12115us,,,,,,,,,,,,
Sequential Output,Block,10,bonnie_vm,111550,11,451ms,,,,,,,,,,,,
Sequential Output,Rewrite,10,bonnie_vm,172150,13,1028ms,,,,,,,,,,,,
Sequential Input,Per character,10,bonnie_vm,3802,81,2074us,,,,,,,,,,,,
Sequential Input,Block,10,bonnie_vm,1967826,78,4254us,,,,,,,,,,,,
Random,Seeks,10,bonnie_vm,355.5,6,4899us,,,,,,,,,,,,
Sequential Create,Create,10,bonnie_vm,24448,31,295us,,,,,,,,,,,,
Sequential Create,Read,10,bonnie_vm,+++++,+++,356us,,,,,,,,,,,,
Sequential Create,Delete,10,bonnie_vm,29253,29,461us,,,,,,,,,,,,
Random create,Create,10,bonnie_vm,23200,29,235us,,,,,,,,,,,,
Random create,Read,10,bonnie_vm,+++++,+++,31us,,,,,,,,,,,,
Random create,Delete,10,bonnie_vm,+++++,+++,447us,,,,,,,,,,,,
Method,Sub name,Concurrency,bonnie_vm,VDC_Ksec,VDC_%CPU,VDC_Latency
Sequential Output,Per character,11,bonnie_vm,638,94,13077us,,,,,,,,,,,,
Sequential Output,Block,11,bonnie_vm,42130,4,128ms,,,,,,,,,,,,
Sequential Output,Rewrite,11,bonnie_vm,90523,7,2224ms,,,,,,,,,,,,
Sequential Input,Per character,11,bonnie_vm,3715,81,2094us,,,,,,,,,,,,
Sequential Input,Block,11,bonnie_vm,2136258,77,365us,,,,,,,,,,,,
Random,Seeks,11,bonnie_vm,350.5,6,2294us,,,,,,,,,,,,
Sequential Create,Create,11,bonnie_vm,19917,27,279us,,,,,,,,,,,,
Sequential Create,Read,11,bonnie_vm,+++++,+++,356us,,,,,,,,,,,,
Sequential Create,Delete,11,bonnie_vm,27836,29,375us,,,,,,,,,,,,
Random create,Create,11,bonnie_vm,19274,24,216us,,,,,,,,,,,,
Random create,Read,11,bonnie_vm,+++++,+++,38us,,,,,,,,,,,,
Random create,Delete,11,bonnie_vm,20924,22,107ms,,,,,,,,,,,,
